area,bedrooms,bathrooms,floors,parking,age,location_score,price
3877,5,4,1,0,20,5,23945961.340400007
2773,5,3,2,1,26,4,18160884.928487
2220,4,4,2,0,1,8,17954740.127303053
3498,1,2,1,1,10,8,21126831.20228435
2267,5,4,1,3,6,1,16666942.085037766
1891,1,3,3,2,10,3,12712009.77558234
2584,3,3,1,3,23,7,17422334.50932963
2513,5,3,1,3,24,5,18734428.571638912
1868,4,3,1,2,8,1,12536818.376055146
1553,2,1,3,2,10,8,13313142.117157027
1448,1,1,3,1,18,6,8916164.81798196
1511,1,4,1,0,25,8,10805199.613417754
3734,3,1,2,2,5,5,22592554.320957575
3022,3,3,2,2,21,9,20741291.70289446
841,1,1,1,2,9,6,7221771.5040218895
1748,2,3,3,3,29,7,13809583.746889608
1212,5,2,3,0,14,7,10728638.438414974
3459,1,3,3,1,17,3,19856938.38572869
996,4,1,2,1,1,6,10765728.438996647
3751,5,1,2,1,3,8,24310764.934505913
2267,2,3,3,2,13,6,15933625.194537912
780,5,3,1,2,22,5,7699938.919150328
2779,3,2,2,1,5,8,19517708.370547585
3732,2,2,1,0,9,2,20441560.05414065
2510,2,3,2,1,28,5,15500454.611849127
2446,5,3,1,1,19,8,18322883.542709157
1389,4,1,2,0,2,7,12805315.466480374
1487,5,4,2,3,10,10,15396320.725043634
1779,5,3,1,2,7,2,13375943.754998278
1859,4,2,1,1,26,6,14110474.411730537
3731,5,2,1,2,22,3,22808408.454272173
3381,5,3,1,2,6,7,23022787.944855295
3463,3,2,2,3,1,10,24326497.601262294
1001,4,1,2,3,10,1,7054381.750992286
3235,1,4,1,2,2,3,18980510.66802242
3783,4,4,3,3,8,9,26659805.151117835
3257,1,1,1,3,23,1,17048221.611659504
3001,1,2,2,3,1,3,18478532.911351703
1779,3,3,1,1,24,5,12991873.023227355
2901,3,1,1,1,22,5,17910594.75860172
1218,4,3,3,2,26,9,11774645.648749707
2286,4,4,1,1,5,1,15320091.2652843
1191,3,4,1,2,2,7,11743788.972637255
2749,4,2,2,1,20,6,18128518.424476154
1563,4,4,3,1,23,9,13820467.43584768
1226,1,1,2,1,22,7,9046162.543128058
1419,1,4,3,3,22,1,8561143.011984581
3915,5,3,2,0,22,6,25399411.459398955
3874,1,2,2,0,20,1,20930767.99862185
1572,4,2,3,0,2,1,11191936.955083547
2760,4,1,1,1,3,6,18848546.053348742
1468,2,4,3,0,7,10,14052496.631479356
2957,1,4,2,2,25,1,16965153.173244566
3924,5,2,3,0,13,2,23588447.377754495
2549,1,3,1,0,13,9,17704609.787579596
959,4,1,3,0,25,5,8947530.745395385
693,2,2,2,2,23,3,5845622.013875989
3639,1,3,1,0,10,1,20261711.30529237
2954,2,2,2,3,28,1,15400483.004448919
3307,5,2,1,3,14,8,22484738.71895401
1334,3,1,2,0,27,2,7492855.920263536
2570,1,1,1,3,8,2,14689925.165627556
2532,2,3,1,0,26,6,16298201.943375112
2656,4,2,3,3,27,9,20140339.12114429
2587,1,2,2,1,17,8,17182242.313698247
1585,2,4,2,0,3,5,12022482.590951553
1695,3,3,3,0,2,6,14141060.636036536
3259,1,4,3,3,23,7,20516698.011357594
1069,2,4,3,3,28,5,9222810.968120297
1906,3,4,1,3,3,5,14698829.809294311
3820,1,2,3,1,10,1,21452806.295531712
3575,3,4,1,2,26,10,24300702.64631179
3442,2,1,2,2,13,3,19768977.436445493
1559,1,2,3,2,23,9,12037785.466050273
2434,4,2,2,2,0,4,17361222.84141971
3244,1,3,1,1,0,10,22108849.78547686
2077,5,1,1,1,24,9,15361753.460763972
978,2,2,2,0,7,4,7973785.765585908
1857,4,3,1,2,6,5,14517378.965327488
3823,2,3,2,2,18,3,21903270.265725687
1512,5,1,1,1,24,7,12470569.153348405
3378,5,2,3,2,13,8,23829155.820492417
3295,3,4,3,3,2,7,23144241.772443186
841,3,2,3,0,20,2,7382513.503300514
2547,4,1,2,3,27,4,16518589.194697602
2798,3,1,1,1,21,9,19009525.577612534
2293,2,4,2,2,2,5,16675313.624018168
3065,3,4,2,2,22,2,18131287.04605499
2668,3,4,2,1,10,4,17597505.165094387
3646,3,1,3,1,29,1,20064281.62097833
1926,4,2,3,3,9,10,16233845.067274753
1267,2,4,3,3,10,4,9982295.45801098
1956,5,3,3,2,25,6,14661995.554031342
2204,2,4,1,2,16,3,13807556.745838791
1451,5,2,2,2,18,9,14010758.128249163
2835,2,4,2,1,8,3,17847706.497002788
699,4,2,2,3,1,10,10718893.420598952
762,4,1,3,1,19,5,7965374.807877538
3667,2,3,3,3,6,3,22162973.694837265
2714,3,4,3,0,28,5,17803241.610779926
3005,2,1,2,1,4,4,18207631.895928502
3361,3,1,3,1,20,2,18645019.659609035
2055,3,1,1,0,6,1,12996990.817165406
2512,5,2,1,1,27,2,15844998.018722294
3782,4,2,2,2,17,7,24209234.968396597
3641,5,2,2,1,23,9,23949732.6113196
1929,3,4,1,2,5,2,12875184.766141893
3587,1,2,3,0,23,3,18808289.563380804
3933,3,4,3,0,28,2,22586706.95529254
791,5,3,1,1,23,3,7473409.6016711565
790,4,2,2,1,2,3,8932182.882424604
3766,2,4,2,3,29,1,20806190.524493758
1389,5,3,3,2,27,5,12088109.548416816
3774,1,1,1,2,24,2,18794116.246932108
2247,1,3,2,0,28,1,12140428.784644995
1332,3,3,1,0,18,10,12408113.014735643
504,3,2,1,2,19,5,6304832.671432275
3807,3,4,1,1,20,5,23957298.90135739
675,2,2,3,0,16,5,6570926.998496124
3056,4,4,3,3,26,2,18978291.27981434
1129,5,4,2,3,0,3,11819434.205257317
876,1,2,1,1,12,9,9099255.940198973
3271,2,3,2,3,0,1,19365953.743782736
585,3,2,1,2,15,7,7876819.870640281
2708,2,2,3,0,29,7,17504200.6561203
2932,4,1,1,0,9,6,18976296.343630485
2077,1,3,3,1,27,7,14482212.781857796
1775,4,1,3,3,28,10,14405300.973713346
2996,1,2,3,1,1,2,18033102.510199785
3564,3,3,1,2,17,7,21886541.06086097
1058,3,3,3,1,13,3,8777902.013160693
1951,1,4,1,3,8,4,12322702.841546042
3581,1,3,1,1,14,9,22118513.946697805
2905,3,1,2,3,14,4,17884551.46033363
3604,4,2,3,2,4,1,21159401.033164058
691,5,4,2,3,17,4,8801127.10179769
3601,5,2,3,3,19,1,21152356.28514903
2521,1,4,3,1,0,6,16523983.385025775
1079,1,3,1,2,7,10,11293514.227916634
2345,2,2,2,3,28,8,16024475.22154012
2736,3,2,3,2,28,6,17364264.15985123
3642,5,2,3,1,29,6,23114385.659525044
642,4,4,1,3,26,1,5679442.152396319
1974,4,3,2,3,2,1,14238207.621884238
1304,2,1,1,2,17,2,8061297.17729162
1620,1,3,2,0,13,4,11196444.837788688
3292,2,2,3,1,6,5,21100704.0417788
1722,2,3,2,0,10,7,13051688.53827896
2731,2,3,2,3,13,4,16544030.647356126
1234,5,2,1,0,5,7,13347787.415537963
1924,5,4,1,3,18,8,15905176.74454992
3573,5,3,3,3,11,7,25113370.46748176
1701,4,3,2,2,4,1,12201387.011418393
1969,5,1,2,2,19,7,15471035.294612713
2441,3,2,1,1,14,10,17624710.931992274
3354,4,1,3,0,14,3,20684210.318055104
3432,2,4,3,2,13,9,24236833.103210773
689,2,3,3,3,7,6,8994326.051588003
2834,4,4,1,0,25,7,18502528.188631706
2264,4,3,2,2,27,9,15763455.614715356
525,3,1,2,3,14,8,7578103.156124525
1378,1,2,2,2,19,9,11000301.864877326
3020,2,1,3,3,21,9,19860741.75910968
2697,4,3,3,0,19,1,15859122.589424737
3728,2,3,1,1,7,1,20903429.751605608
992,1,1,1,1,4,4,7600210.51775383
661,2,1,3,1,0,2,6559869.387318453
2445,1,3,2,1,10,1,14507241.100646773
958,3,3,1,0,23,8,9402624.837053725
874,1,4,2,2,5,8,9131355.241574045
1165,1,4,3,3,20,9,10402346.96295921
916,2,3,2,1,26,9,8959902.644986052
2179,1,1,2,2,16,1,12255124.576711921
2570,4,4,2,3,2,3,18023425.943061665
2471,1,1,3,0,26,10,16599066.886609104
543,3,3,1,3,2,4,8420887.58674788
3439,1,1,2,3,11,10,22133168.88313654
2845,2,3,1,0,20,5,17471460.034268774
3757,2,4,1,2,0,4,23330258.66428023
3771,2,4,1,3,5,7,24593725.28805057
3703,3,4,1,1,27,10,24418099.016635075
2307,2,2,1,3,1,5,15881825.093962261
1866,3,4,2,3,10,6,14443263.451981151
1588,4,1,1,1,18,5,11479302.792648425
2951,5,3,3,3,18,4,19886319.41485361
1656,5,3,3,3,18,7,14965537.362088423
3568,2,2,2,2,10,2,20947565.899558313
561,3,3,1,1,16,9,9087420.96905211
3961,4,3,2,3,22,8,26188105.810406707
1659,3,2,1,3,24,7,12097380.344569014
3974,2,1,2,0,21,9,24263949.30068832
1182,2,2,3,0,12,2,8462732.5068058
3478,1,3,3,1,4,10,23059665.312657785
1642,2,3,1,1,17,2,9933521.44804891
3826,2,1,3,3,6,10,25120081.097183153
1018,3,4,1,3,20,4,9330731.306622501
611,5,3,2,2,27,2,6718161.307931177
1630,4,1,3,3,20,8,13855535.103586536
1561,3,2,2,0,21,4,10665974.300280886
1574,1,4,2,3,16,10,13586235.532146707
3119,1,4,3,1,11,3,18593028.508286502
2180,1,4,3,1,3,2,13452917.875927405
1657,5,3,3,3,8,3,12975565.826464076
1287,3,1,3,2,24,6,9843385.620814567
2087,2,1,3,3,18,8,14174503.379787298
1678,2,2,2,1,16,4,11102685.256721303
3021,1,4,3,3,8,7,19744561.463161826
676,1,1,1,0,18,3,5627314.472139419
2334,3,2,1,1,29,5,14350270.334555494
2900,4,4,1,0,26,8,19690065.897069987
832,5,1,2,3,17,10,11060818.597980767
3773,2,4,1,1,2,9,24747422.604361232
2559,5,3,3,0,4,6,18456445.712015927
1990,3,4,1,3,24,6,14864625.645980578
1268,1,1,3,1,15,3,8772187.728929782
651,1,2,1,0,25,9,7016152.063697979
2366,4,4,1,2,9,3,15981790.272818718
2206,1,1,1,1,27,8,14102253.736511774
2155,2,3,2,2,19,5,13751148.913906824
2373,5,2,3,1,19,8,17261637.718063716
654,3,2,1,0,10,2,6108037.732715668
2215,2,2,3,1,10,9,17693112.015317645
1604,5,3,1,3,12,3,12278263.970844153
930,4,3,2,1,29,1,7640067.040099279
2040,3,2,3,2,5,9,16653030.30753376
2990,4,1,1,1,2,2,17942230.07643705
1890,3,2,2,3,3,1,12471944.799572261
683,4,4,1,1,15,2,6917423.267065817
2607,4,4,3,1,12,2,17180014.274617016
554,4,2,2,3,9,10,9820981.390087664
1436,3,3,2,1,26,4,11307304.865340013
3596,1,2,1,3,29,2,19190171.335762862
3538,5,3,2,3,0,8,25140385.0230004
599,5,4,3,3,19,4,7313528.878711022
741,5,3,1,0,29,2,7018561.286528593
765,2,2,3,3,18,1,6814878.175476197
1833,4,1,3,0,26,9,14640198.700169498
3700,5,1,3,3,6,5,24306037.39155898
1160,5,1,1,3,18,7,11871313.66406316
893,1,1,3,0,7,2,6369281.828438573
635,4,4,3,1,27,5,8049522.096292161
804,3,4,1,3,4,4,8208624.221608085
3466,4,3,1,3,22,3,21517195.344838016
1520,1,2,3,2,21,10,12828607.941422405
1375,2,2,2,3,20,3,9302247.436180316
1493,3,4,2,0,3,2,11698928.777279278
1515,1,3,2,1,27,5,10754720.734276578
1704,4,4,2,1,27,1,11628564.087031992
3346,4,1,3,0,3,3,20854031.277531784
3625,2,2,3,2,4,8,23159301.196918182
2506,5,3,2,0,18,4,19028175.4322567
1275,1,3,2,0,21,9,11168133.868650645
3971,1,1,1,1,14,8,24255868.757857364
1372,2,3,2,0,29,3,9005112.690325659
2440,3,3,2,2,2,10,19462594.050229613
3091,4,4,2,3,12,8,22836221.501116388
1271,3,2,3,2,28,3,9658293.898279794
3448,5,4,1,2,8,2,22019877.207326602
1168,5,3,1,3,8,8,11937709.78485292
3857,2,3,1,0,5,8,24339720.673340894
883,5,2,3,2,14,8,10473915.064929109
2756,5,2,3,1,10,8,19826632.28322471
3361,1,2,2,2,3,2,19416010.770422984
665,1,2,2,0,2,7,7624286.728361175
3193,2,2,1,1,8,5,19933445.86030438
2522,1,3,3,3,3,5,17326590.60062017
3821,2,4,1,2,18,1,21932517.456630535
1405,4,2,3,1,25,10,12593732.561113684
513,3,3,2,2,12,6,7413388.764000136
1788,2,2,1,3,24,5,13264802.64817699
523,5,3,1,0,10,5,7805511.926594975
3452,3,3,1,1,26,4,20352550.98944597
2366,5,1,3,1,7,7,17716082.805811983
1440,4,2,3,2,9,8,13767776.397769887
2862,1,4,2,2,6,4,18078762.30680393
979,5,2,1,1,16,2,8606156.589603286
1421,5,3,2,0,17,4,10729465.26072051
3452,2,2,1,1,18,6,20173044.378056552
2824,1,3,3,1,25,2,15707084.278499115
3971,5,1,2,2,12,2,23443736.25882922
2622,3,4,2,0,3,9,19928361.098690666
1361,5,4,2,1,6,3,12127493.564780941
3676,4,3,1,1,13,5,23338453.76147741
2597,4,3,2,1,19,10,19719560.529490083
2328,1,1,1,0,11,2,12848963.267912632
3273,2,1,1,0,25,9,20132435.691601507
876,3,2,2,2,29,6,7918911.556073042
2382,5,3,3,3,4,4,17216502.693765633
1121,1,4,2,3,14,4,8724770.208688116
2523,4,3,1,1,15,3,16477759.459519532
3760,5,4,3,2,16,8,25683683.431211982
3454,4,2,1,3,8,8,22829832.380984835
2798,5,2,2,1,4,8,20658389.07670727
1004,2,3,2,2,17,5,8704151.72011007
2312,5,4,1,0,24,9,17628039.07802591
2946,1,2,3,1,6,4,17529984.996082097
2353,5,4,3,3,4,3,17333408.189232573
1238,5,1,1,1,9,2,9096016.823807646
1211,1,4,3,0,4,6,10519737.129185384
1966,3,3,3,2,17,2,14348233.099904547
1179,2,4,1,0,7,10,11975729.62440315
2507,2,3,1,0,9,3,15403421.978337802
3198,2,2,2,0,29,6,18632178.130025677
1933,5,1,2,0,29,1,11665368.422509259
2922,3,1,1,1,4,6,18958838.367186364
2092,2,1,2,0,21,10,15917491.490100676
2598,5,2,2,0,24,1,16098151.172246084
2989,1,1,2,0,9,5,16521125.35616027
2411,2,1,2,3,29,10,17411443.49149595
2520,4,1,3,3,6,9,18829712.609351058
1339,5,2,2,1,22,9,13316775.731403125
1239,1,1,1,0,27,4,7907678.357512009
3223,3,4,2,0,10,3,19121856.022406396
824,4,2,2,3,19,2,7567007.0880156
3698,2,2,1,2,24,7,21501437.612190194
846,4,2,2,1,23,1,6732220.232748666
3697,2,3,3,0,8,7,23381894.410063934
2605,2,2,3,1,18,6,16934865.350616205
3721,4,3,3,1,17,4,22721540.13222263
2567,2,1,3,1,18,8,17610562.517677233
2305,3,4,1,3,16,8,18162154.685964108
2735,4,4,2,1,19,7,19361315.41817346
3612,3,3,1,3,6,1,21454380.734684438
3233,4,4,1,2,12,1,19843717.855820306
3882,4,1,2,1,27,4,21566415.529987987
1478,3,4,1,3,26,10,13279716.373246916
1580,4,3,1,1,29,5,10958114.434320265
3722,5,3,2,3,22,1,21895877.121510826
1232,2,3,1,1,11,5,9485562.637738228
1085,4,2,2,0,27,6,9700717.05508587
552,5,2,1,1,16,5,7201784.49702895
641,3,1,3,1,3,3,6193055.626360936
3584,1,3,2,0,5,6,21838956.448398795
2897,4,2,2,0,23,2,17760437.909904413
1391,3,2,3,3,10,6,11292236.08241474
3963,1,1,2,0,23,5,22528523.22143825
3604,5,1,3,2,6,10,25385385.66357154
997,5,3,2,2,26,7,10393149.38984088
1591,4,1,2,1,25,10,13901749.38812648
1378,3,2,3,2,8,4,12148526.134830011
2491,4,2,1,2,25,2,14435465.153331019
3435,5,2,3,2,5,7,23653065.884754404
3627,1,1,3,1,25,5,20217528.165552787
2707,5,3,3,2,19,6,18857173.470472295
1415,3,3,3,3,28,1,9313979.31066611
1571,2,2,1,2,26,5,9364718.49575559
1080,1,2,2,2,0,3,8446402.917548608
1115,4,2,3,0,16,6,10060470.378642753
3323,4,1,3,3,17,2,19425240.09365474
1629,4,2,2,0,17,6,13316294.307673063
3006,4,2,2,0,22,3,18040033.923411608
1774,4,3,3,3,0,4,14149543.306728702
1183,2,4,2,1,10,8,11353351.387071835
3288,2,1,1,0,2,1,17732494.14705236
1242,4,4,1,2,19,2,9665075.516647924
561,1,1,3,2,8,3,5042821.584691594
1604,4,1,1,2,18,6,11531911.931682603
3038,4,2,1,0,25,2,17940954.01418169
1037,5,1,2,1,28,4,9353213.345810901
1243,3,1,3,3,25,2,8521608.251912603
3750,5,4,1,2,9,8,25021792.079690024
508,4,2,3,1,2,10,9689084.141745856
3590,2,3,2,3,1,7,22886594.153296012
3980,3,1,2,1,9,5,23454332.15076868
711,2,3,1,0,16,9,8606046.660169438
1591,3,4,3,0,3,8,14765729.321203243
1536,4,2,2,0,3,4,12294074.803360641
2354,1,3,2,0,1,6,15851533.578014165
2425,3,4,3,1,3,10,19294038.07892598
3135,3,4,3,2,4,5,22543530.624726724
3493,5,1,2,2,25,3,20057534.78621217
2763,2,3,1,2,18,9,19204791.02421226
2461,5,3,1,2,29,10,17789410.65809845
2152,2,4,1,2,29,5,13742289.701747684
1226,2,4,2,0,26,8,10880981.765910046
2223,1,3,1,0,20,9,15758611.827089863
2874,1,4,2,2,2,6,19080847.505827792
871,3,2,3,2,27,10,9781659.267288107
1339,4,3,1,0,16,1,9464161.313158333
3913,3,3,2,3,26,2,23314005.761765275
733,5,3,2,2,18,3,7848025.0423837425
856,5,3,1,1,19,5,8537566.926316375
3385,2,1,1,3,16,7,21345438.417948212
1304,1,3,2,1,5,8,11139328.448628657
2333,4,4,3,2,21,6,17189958.251681373
1297,1,4,3,0,13,1,8531067.393156784
3582,2,2,1,3,19,2,20344819.33217468
1158,3,3,3,3,14,1,9753262.960267123
1834,2,2,2,2,8,9,14928580.686802808
1664,2,2,3,2,15,8,13406292.471712107
2204,3,3,1,1,26,1,12735716.27273573
3266,3,2,1,0,19,7,20478845.776393328
3150,1,3,2,0,13,10,22019792.02034182
1107,2,1,3,3,18,2,7777716.749375258
591,1,4,1,2,21,6,5913484.185659517
1709,2,2,2,1,27,7,12151843.385823082
1940,5,1,2,0,28,9,14711046.199853146
857,4,1,1,0,6,1,6305160.348197442
3219,2,2,2,2,26,5,18880224.380482677
1947,3,2,3,1,5,9,15272664.48726026
2161,5,2,1,0,18,10,15909823.288206546
2985,4,4,3,0,4,5,20274951.200153317
3167,1,3,2,0,9,3,18294160.12068847
1476,2,1,3,1,10,2,9625054.020881856
1441,5,1,3,2,7,1,10994280.337569956
1947,1,2,1,0,25,2,11502072.27101136
1360,1,1,2,0,20,1,6797171.466947224
891,2,1,3,2,6,6,7388728.467587707
1490,5,2,1,1,5,7,13248050.682801321
1815,2,3,3,2,5,4,13510862.243419167
3542,2,4,3,3,4,10,24713577.45472182
1572,1,1,3,3,13,7,12672561.301790366
2760,5,1,1,1,16,6,18242498.174842764
3854,3,3,3,2,7,9,25848822.144732583
936,1,1,1,1,27,5,6905062.085222355
1394,3,2,2,1,29,1,9429848.115816059
2867,3,2,2,2,20,10,20059380.16907731
1997,5,3,2,3,4,5,15932033.887078593
1633,4,2,1,1,21,8,13350977.506343868
1702,1,1,3,0,23,4,10141565.33692124
692,5,2,3,3,3,9,10943344.516942056
1323,2,3,2,0,6,3,8606060.97153985
3246,5,4,1,0,4,5,21314978.331021234
2533,1,2,3,0,26,5,14452353.948204096
1414,2,2,3,3,13,3,9568358.209509138
1852,3,3,2,3,13,1,12526999.963935474
1744,4,3,1,0,13,5,13669652.050354417
521,3,4,2,1,3,10,9643538.791165397
1503,3,4,2,3,2,6,12749002.316930145
1254,1,1,2,0,20,1,6320386.970482699
2611,4,4,3,1,12,10,20921115.675986532
2816,2,1,1,1,25,4,15785767.117810886
2793,2,4,2,3,22,8,18710407.239736143
1292,3,2,3,1,7,3,10458277.879485443
3442,3,3,3,3,4,3,21904220.075301524
2657,5,3,2,1,15,8,20425553.219105285
2807,2,1,1,3,15,1,15887196.166387858
1322,1,1,3,1,28,1,6743878.588615903
3602,1,1,2,2,8,4,20540862.031987425
2363,5,4,1,3,7,5,17803140.930886578
3648,3,3,2,3,9,10,24954323.66715683
2518,4,3,3,0,14,2,15581967.60559552
973,4,4,3,2,28,1,8120941.171093357
1226,5,3,2,0,12,9,12416626.331998352
1153,5,2,2,3,6,6,11582898.975190153
3195,2,3,2,1,16,6,19632340.930154394
1075,1,1,3,3,26,7,8692910.46200259
872,5,3,1,3,9,10,12231447.1502618
2813,5,2,3,2,23,10,20921289.90518701
3467,3,4,3,2,10,7,22778352.561058387
1781,5,1,1,3,9,5,13708311.408413805
1954,3,4,2,2,2,2,14037202.781055324
3594,5,4,1,3,17,6,23230832.84872901
1033,4,4,1,2,20,9,11594406.983230885
2824,5,1,1,1,22,8,19820288.2651793
3339,5,4,2,2,5,3,22250279.432041466
2976,2,2,3,2,10,6,19980977.071295395
2789,1,4,2,2,27,10,20090140.90576258
2508,1,3,2,0,28,5,13879303.386109333
1543,4,3,1,3,10,5,12334477.13947405
3173,3,2,3,3,15,2,18883156.907564294
786,5,3,2,1,9,5,8986068.361469164
754,4,2,1,2,28,10,9783075.02797073
3745,4,1,1,3,3,5,22425154.014058847
3428,3,1,2,1,22,7,21837053.727761984
2610,1,1,1,2,11,3,15080384.620848121
2051,4,1,2,3,24,3,13147314.267169904
3117,1,2,2,1,2,1,18246262.94454102
1982,1,3,2,0,14,9,14530363.305012079
985,3,3,2,3,20,4,8853504.684752697
3756,1,2,2,0,12,2,20541639.625403114
2817,2,2,1,1,5,9,18947859.0233967
1950,2,2,3,1,5,9,15787625.73856282
1442,1,2,2,2,26,5,9059738.828028547
1130,2,1,2,3,16,8,9650667.946365612
2380,3,3,3,2,15,10,17984589.76409669
3682,3,4,1,2,23,6,23328904.296847183
3458,3,4,2,3,13,7,23541935.962233737
2940,1,1,2,3,7,7,18485007.80459783
2243,1,1,2,0,25,8,14134609.603476254
1472,4,2,1,1,24,3,9781229.868890269
3284,1,1,2,1,21,2,17323238.998131543
3500,3,3,1,2,7,8,22994328.404219855
1745,5,4,2,1,4,2,14081267.851398287
1595,2,3,2,3,18,10,13710859.843004884
1346,1,1,3,2,23,9,10024158.31041454
1206,4,4,2,1,16,7,11785462.19958395
2905,1,1,2,3,20,5,16832838.70997281
1739,3,4,3,3,23,1,11336335.6835024
1677,4,3,2,0,23,2,11179732.72472169
3237,3,3,2,3,21,6,21048727.632279415
